f       ,   Re       for rr =      0.00
   0.255,   251.1886
   0.236,   271.1227
   0.219,   292.6386
   0.203,   315.8621
   0.188,   340.9285
   0.174,   367.9842
   0.161,   397.1870
   0.149,   428.7072
   0.138,   462.7289
   0.128,   499.4505
   0.119,   539.0863
   0.110,   581.8675
   0.102,   628.0438
   0.094,   677.8846
   0.087,   731.6807
   0.081,   789.7460
   0.075,   852.4193
   0.070,   920.0662
   0.064,   993.0816
   0.060,  1071.8913
   0.055,  1156.9553
   0.051,  1248.7699
   0.047,  1347.8707
   0.044,  1454.8361
   0.041,  1570.2901
   0.038,  1694.9064
   0.035,  1829.4121
   0.033,  1974.5921
   0.031,  2131.2933
   0.033,  2300.4301
   0.039,  2482.9895
   0.043,  2680.0365
   0.043,  2892.7209
   0.043,  3122.2837
   0.042,  3370.0643
   0.041,  3637.5085
   0.040,  3926.1768
   0.039,  4237.7534
   0.038,  4574.0563
   0.037,  4937.0479
   0.037,  5328.8460
   0.036,  5751.7367
   0.035,  6208.1875
   0.034,  6700.8617
   0.034,  7232.6339
   0.033,  7806.6069
   0.032,  8426.1297
   0.032,  9094.8171
   0.031,  9816.5707
   0.030, 10595.6018
   0.030, 11436.4558
   0.029, 12344.0390
   0.029, 13323.6469
   0.028, 14380.9953
   0.028, 15522.2536
   0.027, 16754.0807
   0.027, 18083.6641
   0.026, 19518.7617
   0.026, 21067.7468
   0.025, 22739.6575
   0.025, 24544.2490
   0.024, 26492.0507
   0.024, 28594.4276
   0.023, 30863.6465
   0.023, 33312.9479
   0.023, 35956.6228
   0.022, 38810.0966
   0.022, 41890.0186
   0.021, 45214.3594
   0.021, 48802.5158
   0.021, 52675.4240
   0.020, 56855.6815
   0.020, 61367.6791
   0.020, 66237.7433
   0.019, 71494.2899
   0.019, 77167.9896
   0.019, 83291.9472
   0.018, 89901.8946
   0.018, 97036.3994
   0.018, 104737.0898
   0.018, 113048.8976
   0.017, 122020.3203
   0.017, 131703.7043
   0.017, 142155.5497
   0.016, 153436.8409
   0.016, 165613.4016
   0.016, 178756.2793
   0.016, 192942.1598
   0.016, 208253.8144
   0.015, 224780.5834
   0.015, 242618.8965
   0.015, 261872.8365
   0.015, 282654.7456
   0.014, 305085.8817
   0.014, 329297.1255
   0.014, 355429.7441
   0.014, 383636.2154
   0.014, 414081.1179
   0.013, 446942.0908
   0.013, 482410.8704
   0.013, 520694.4092
   0.013, 562016.0829
   0.013, 606616.9943
   0.013, 654757.3797
   0.012, 706718.1274
   0.012, 762802.4167
   0.012, 823337.4869
   0.012, 888676.5464
   0.012, 959200.8341
   0.012, 1035321.8433
   0.011, 1117483.7230
   0.011, 1206165.8694
   0.011, 1301885.7228
   0.011, 1405201.7872
   0.011, 1516716.8885
   0.011, 1637081.6923
   0.011, 1766998.5003
   0.010, 1907225.3478
   0.010, 2058580.4271
   0.010, 2221946.8609
   0.010, 2398277.8559
   0.010, 2588602.2638
   0.010, 2794030.5847
   0.010, 3015761.4468
   0.010, 3255088.5998
   0.009, 3513408.4641
   0.009, 3792228.2780
   0.009, 4093174.8925
   0.009, 4418004.2636
   0.009, 4768611.6977
   0.009, 5147042.9105
   0.009, 5555505.9631
   0.009, 5996384.1458
   0.009, 6472249.8838
   0.009, 6985879.7468
   0.008, 7540270.6497
   0.008, 8138657.3391
   0.008, 8784531.2669
   0.008, 9481660.9625
   0.008, 10234114.0211
   0.008, 11046280.8374
   0.008, 11922900.2224
   0.008, 12869087.0535
   0.008, 13890362.1184
   0.008, 14992684.3279
   0.008, 16182485.4844
   0.008, 17466707.8107
   0.007, 18852844.4558
   0.007, 20348983.2156
   0.007, 21963853.7242
   0.007, 23706878.3882
   0.007, 25588227.3653
   0.007, 27618877.9044
   0.007, 29810678.3956
   0.007, 32176417.5025
   0.007, 34729898.7818
   0.007, 37486021.2235
   0.007, 40460866.1833
   0.007, 43671791.2136
   0.007, 47137531.3412
   0.007, 50878308.3815
   0.007, 54915948.9288
   0.007, 59274011.7093
   0.007, 63977925.0408
   0.007, 69055135.2016
   0.007, 74535266.5732
   0.007, 80450294.4916
   0.007, 86834731.8171
   0.007, 93725830.3078
   0.007, 101163797.9766
   0.007, 109192033.6949
   0.008, 117857380.4157
   0.008, 127210398.4917
   0.008, 137305660.6836
   0.008, 148202070.5799
   0.008, 159963206.2860
   0.008, 172657691.3884
   0.008, 186359595.3576
   0.008, 201148865.7271
   0.008, 217111794.5695
   0.008, 234341521.9905
   0.008, 252938579.5817
   0.008, 273011476.9990
   0.008, 294677335.0922
   0.008, 318062569.2794
   0.008, 343303627.1519
   0.008, 370547784.6157
   0.008, 399954005.2131
   0.008, 431693867.6395
   0.008, 465952566.8665
   0.008, 502929994.7127
   0.008, 542841906.1681
   0.008, 585921178.2756
   0.008, 632419168.9166
   0.008, 682607183.4272
   0.008, 736778057.6049
   0.008, 795247866.3389
   0.008, 858357767.8363
   0.008, 926475994.2040
   0.008, 1000000000.0000
